user,comment
Hesna Elif Cüce,dünyayı yese bile doymayan rose jvndkfjv
miyang mesina,August 2021 😍😎
구독누르면 복이와요♥︎,"이글을 읽으신 모든분들 행운과
행복이 항상 함께하시길 바랄께요
모두모두 행복하세요♥︎"
Iznat,이녕 이녕 나는 지수야 is always iconic 🤗🤗😊
Jane,jisoo's helium song
Neang Ratana,Ba be love love my big
Sophia Poblete,Anneong Jennie kim
nini,Jisoo so cute
Mor Oyun,ı love you jenie <3
🍌정국의🍌#İyikidoğdunJungKook,Lisa fans✨💛✨💜✨💚✨🧡✨💙✨
kln smooth,I love blackplnk
J K,JISOO
EtzCandiceplayZz,anyeong jisooyaa!^^
Unice joy Lequen,Lol im army but i search for this bcz of jisoo's cute helium voice
sania moeen,Rose is so beautiful jisoo jennie and lisa is so beautiful to
BTS and bp fangirl,Cuteeeeeee
BTS and bp fangirl,Is it real
ادمان🖤🐾,I love you  amera
ادمان🖤🐾,나는 리비아에서 친구처럼 너를 너무 사랑해.
Em Ut,Jisoo so cute 😍
Binod Tamang,リサは眠っていた
Let Capate,Hello
Indian_Blink -1408♥︎,4:56
◤ᵃᵍᵘˢᵗᵈ◢,5:00 Jisoo cute solo song🥰😅
Angela,3𝚢𝚛 𝚊𝚐𝚘
Marlina Lina,1:07 rose so cute😍
kela Almira,I❤u black pink
Liza Chu,Urgent message you should never inhale helium unless it is the medical grade even at that the Helium is very bad for the lungs do not inhale helium please
ribon arsana official,Gemoy bet dah Mak jisso
Chandnigupta Myhappiness,Hi
Naveen,You are not savage if you cant hide your hate ( to HATERS)
اريام احمد,بلاك بنك
อัจฉรา วงค์ษา,i love you
Mơ Pé,"제니의 여동생은 너무 귀엽다, 지우, 장미', 리사도 너무 귀엽다 💗💗💗💖💖💖💖💘"
อนุสรณ์ ปริเตนัง,🫂
Lance Barte,JISOO'S HELIUM SONG IS SO CUTENSJFDJDJ
kinanty aliza,🌹🌹🌹🌹😘😘
Saroja Subba Subba,Loved jisoo voice
Sonali Latta,Omg kukku 😍😍😍❤️❤️❤️
Asha Almira,4:53 THIS IS IT!!
Taneesha,Cute jisoo
Zeppeto뽀삐,3:29 멍! 하는거  진짜 귀엽다
Zeppeto뽀삐,0:11 달곰이 인형인줄 😍
Just love yourself,I love this episode ❤️
legendary gamer,5:42awww
블링크,이게 그유명한 짤이 되었다는게 학계의 정설 헬륨=지수 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
R6ng,4:53 jisoo’s iconic helium song
Gabrielle Valiente,"It's so cute how Rosé say ""I'm hungry, Lisa I'm hungry"" And rushes😭🤍
And burnt the toast 🤭"
수빈,제페토 보고 온사람 손…
Jillian Rioux,I😘 u
Jillian Rioux,Blackpink
Jillian Rioux,¥€°€
Jillian Rioux,Ongyo hasayo
fan Black pink,Yêu các chị nhiều lắm 💋❤️❤️💋❣️💓💕💞
huy ngo,I love you baklpin
Lauraaaaaaaaaaaa,CUTE
Lauraaaaaaaaaaaa,BLACKPINk
Lauraaaaaaaaaaaa,BLINK
Lauraaaaaaaaaaaa,BLACKPINK
I m Blinks &BTS,"9:42 when two babies waiting for food made by their mums 😂😂 
Spoiled kids😂😂"
Ly Huong,"I love you blackpink
Name. Junni chan
Fan. Hero team vs blackpink bts"
DJ Ricamae Arnaiz,I like you lisa your the best
Jay cutiee,5:00 kiyowo jisoo
Yusuf Zabran maulana,WA kumu sangat cantik😘
Yusuf Zabran maulana,Selamat hari natal saraenge😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘
Yusuf Zabran maulana,Kok kamu binin gemesin tau😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😛😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘😘
❣️kim soyong❣️blink,"Jisoo's song is very cute 🥰
And I love rosè's nom nom😭"
Itsjustmealexia blink silly fan,JISOO IS tOOO CUTE
Stephanny Silva,아주 귀여운 지수
budumuru manmadharao,",😊"
Anna💖blink💖,5:48 her voice is so sweet❤️❤️❤️
NAZRIN BARBHUIYA,Missing them very badly🤧
Shein Yazar,Love you
Aditi Aarav Upadhyay,jichuuuuu!!
Mariam Flores,Jaja que grasioso
jasmine Fernandez,지수야는 눈이 부시다
AASHI SINGH,"indian people watch : bigboss 
indian blinks watch : blackpink house lol"
ارميبلينك للابد,1:07 😭😭😭💗💗💗💖💖
Aaradhya Gupta! ✨,"Jennie:-solo ♥
Rose:- on the ground 🌟
Lisa:- coming soon 🥂
Jisso:- 5:00 😍"
ارميبلينك للابد,5:00 😭😭😭😭💗💗💗💗💗💖💖💖💖💖💖💗💖💖
Sech Lom,Jisoo 🌚
light force gaming,Love your videos
Naryo,Asw
Kalyani Phukon,"I like Jisoo cause she is so beautiful😍😍😍 and Jisoo, Lisa, Rose and Jenni have a so cute joking and happy friend ship 😇😇😊😊☺☺🥰"
Kalyani Phukon,You all guys are so beautiful and pretty but I can't see any differents between Jisoo and Rose already I know that Rose have pink hair but sometimes her hair colour changes to brown
